sample	colony	ML	SP	EY	HL	CL	group
BR1	LS180814-004	449	136	405	437	113	BR
BR2	LS180814-004	441	138	407	440	110	BR
BR3	LS180814-004	446	141	407	454	112	BR
BR4	LS180814-004	459	140	415	459	110	BR
BR5	LS180814-013	452	139	414	457	110	BR
BR6	LS180814-013	441	138	408	435	110	BR
BR7	LS180814-013	457	144	411	462	112	BR
BR8	LS180814-013	443	140	404	456	115	BR
BR9	LS180814-013	433	132	411	459	114	BR
BR10	LS180814-015	439	131	393	442	112	BR
BR11	LS180814-015	443	135	392	433	108	BR
BR12	LS180814-015	439	131	402	442	110	BR
BR13	LS180814-015	432	137	399	415	111	BR
BR14	LS180814-017	498	153	420	470	113	BR
BR15	LS180814-017	462	148	404	463	114	BR
BR16	LS180814-017	NA	NA	402	456	112	BR
BR17	LS180814-017	458	149	422	468	114	BR
BR18	LS180814-017	465	145	413	447	113	BR
BR19	LS180814-022	445	141	403	447	106	BR
BR20	LS180814-022	453	138	412	454	111	BR
BR21	LS180814-022	451	140	404	455	112	BR
BR22	LS180814-022	446	141	404	454	115	BR
BR23	LS180814-022	435	127	397	444	109	BR
BR24	LS180814-024	454	140	NA	NA	NA	BR
BR25	LS180814-024	467	148	415	458	113	BR
BR26	LS180814-024	466	150	425	468	116	BR
BR27	LS180814-024	472	148	424	468	118	BR
BR28	LS180814-024	466	147	415	434	114	BR
BR29	LS180814-025	468	133	411	462	114	BR
BR30	LS180814-025	427	131	399	439	105	BR
BR31	LS180814-025	446	137	403	472	111	BR
BR32	LS180814-025	445	135	409	467	110	BR
BR33	LS180814-025	457	147	403	433	110	BR
BR34	LS180814-025	NA	135	413	464	109	BR
BR35	LS180814-031	NA	NA	405	451	108	BR
BR36	LS180814-031	464	138	406	447	115	BR
BR37	LS180814-031	457	132	399	452	111	BR
BR38	LS180814-031	441	134	405	432	109	BR
BR39	LS180814-031	457	130	403	453	111	BR
BR40	LS180814-033	444	139	407	456	105	BR
BR41	LS180814-033	448	139	406	445	106	BR
BR42	LS180814-033	424	134	407	432	112	BR
BR43	LS180814-033	443	143	406	454	110	BR
BR44	LS180814-033	441	136	398	451	112	BR
TNF1	ES190309-002	442	145	401	436	109	TN
TNF2	ES190309-002	446	150	404	430	112	TN
TNF3	ES190309-002	448	145	394	400	106	TN
TNF4	ES190309-002	427	137	398	421	109	TN
TNF5	ES190309-002	451	151	405	451	115	TN
TNF6	ES190309-003	410	139	379	409	101	TN
TNF7	ES190309-003	423	136	390	395	110	TN
TNF8	ES190309-003	427	125	372	404	103	TN
TNF9	ES190309-003	412	125	366	393	108	TN
TNF10	JE002	438	144	385	439	104	TN
TNF11	JE002	451	142	396	431	107	TN
TNF12	JE002	460	145	404	443	109	TN
TNF13	JE002	447	144	403	434	109	TN
TNF14	JE003	446	135	399	435	111	TN
TNF15	JE003	452	142	397	432	110	TN
TNF16	JE003	451	133	400	443	110	TN
TNF17	JE003	449	147	400	452	106	TN
TNF18	JE003	447	141	412	441	114	TN
TNF19	JE005	462	150	402	435	110	TN
TNF20	JE005	460	142	400	444	111	TN
TNF21	JE005	445	140	384	418	104	TN
TNF22	JE005	446	148	404	431	113	TN
TNF23	JE005	458	152	400	443	112	TN
TNF24	LS190306-003	470	155	411	431	114	TN
TNF25	LS190306-003	467	155	395	448	112	TN
TNF26	LS190306-003	458	136	401	439	113	TN
TNF27	LS190306-003	456	156	403	439	113	TN
TNF28	LS190306-003	469	157	399	445	113	TN
TNF29	LS190306-003	NA	NA	381	432	108	TN
TNF30	LS190307-001	464	147	403	430	111	TN
TNF31	LS190307-001	443	137	391	425	112	TN
TNF32	LS190307-001	432	137	383	413	112	TN
TNF33	LS190307-001	433	139	381	398	110	TN
TNF34	LS190307-001	444	147	398	441	109	TN
TNF35	LS190307-003	437	152	405	445	111	TN
TNF36	LS190307-003	433	157	397	429	111	TN
TNF37	LS190307-003	455	145	409	429	115	TN
TNF38	LS190307-003	464	153	408	437	112	TN
TNF39	LS190307-003	441	152	397	440	110	TN
TNF40	LS190307-004	465	153	408	459	111	TN
TNF41	LS190307-004	455	164	418	456	114	TN
TNF42	LS190307-004	479	157	419	440	120	TN
TNF43	LS190307-004	482	159	417	446	113	TN
TNF44	ME190309-001	450	146	393	435	105	TN
TNF45	ME190309-001	444	144	393	411	106	TN
TNF46	ME190309-001	435	150	424	390	99	TN
TNF47	ME190309-001	439	143	386	392	104	TN
TNF48	ME190309-001	431	148	388	415	104	TN
A1	A	398	119	382	417	104	T
A2	A	395	132	417	473	107	T
A3	A	406	124	401	431	102	T
A4	A	438	132	402	458	106	T
A5	A	441	125	416	462	106	T
A6	A	430	143	403	449	97	T
A7	A	425	132	NA	NA	NA	T
A8	A	424	120	NA	NA	NA	T
A9	A	431	144	423	463	103	T
A10	A	422	120	396	413	104	T
A11	A	456	140	410	458	109	T
A12	A	446	139	404	464	108	T
AA6	A	444	132	401	439	102	T
C1	C	418	123	392	420	100	C
D1	D	406	127	386	435	103	T
D2	D	466	139	412	463	109	T
E2	E	383	131	386	423	101	C
E3	E	446	134	407	438	112	C
E6	E	470	134	417	471	110	C
E8	E	455	125	404	439	113	C
E9	E	427	130	393	447	102	C
E10	E	416	NA	395	442	103	C
E11	E	432	122	398	439	104	C
E12	E	407	121	391	417	107	C
E14	E	416	127	392	444	106	C
E13	E	424	126	382	435	98	C
F1	F	NA	139	NA	439	110	T
F2	F	NA	NA	400	435	109	T
F3	F	433	130	392	456	107	T
F4	F	450	134	427	450	118	T
F5	F	435	120	376	430	100	T
F6	F	439	118	384	410	107	T
F7	F	408	115	376	416	99	T
F8	F	458	119	387	440	105	T
H1	H	387	118	376	374	106	T
H3	H	428	139	398	453	112	T
I3	I	406	129	394	452	98	C
I5	I	445	142	405	459	109	C
I8	I	424	129	392	425	106	C
I9	I	446	126	403	432	106	C
I10	I	435	119	391	433	103	C
I2	I	NA	NA	393	441	104	C
K1	K	447	129	406	446	108	C
K3	K	425	131	388	428	102	C
K4	K	448	135	396	452	113	C
K5	K	474	119	398	444	110	C
K6	K	403	129	385	431	100	C
K7	K	440	94	394	431	103	C
K9	K	451	134	407	445	110	C
K10	K	456	129	406	454	122	C
B1	B	NA	NA	372	411	94	C
